City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Darnah,LY,75.58,clear sky,32.767,22.6367,فندق الفردوس
473,Awjilah,LY,76.24,clear sky,29.1081,21.2869,
476,Calabozo,VE,81.18,overcast clouds,8.9242,-67.4293,Hotel Giardini
478,Pedernales,DO,86.29,few clouds,18.0384,-71.744,Hotel Costa Marina
481,Dakar,SN,84.33,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
483,Korla,CN,76.86,clear sky,41.7597,86.1469,Gulisitan Hotel
486,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
487,Bobo Dioulasso,BF,75.65,clear sky,11.1771,-4.2979,RAN Hotel Somketa
491,Gizo,SB,82.35,broken clouds,-8.103,156.8419,Imagination Island
492,Barinas,VE,81.75,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
496,Jabinyanah,TN,85.8,broken clouds,35.035,10.9081,maison belmabrouk
497,Macau,MO,85.06,few clouds,22.2006,113.5461,Grand Emperor Hotel
512,Chabahar,IR,80.42,broken clouds,25.2919,60.643,هتل گدروشیا
519,Srivardhan,IN,78.98,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
523,Isla Mujeres,MX,84.13,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
524,Phuket,TH,80.82,scattered clouds,8.0,98.25,The Surin Phuket
528,Bandarbeyla,SO,78.22,overcast clouds,9.4942,50.8122,JABIR HOTEL
529,Mazatlan,MX,85.91,overcast clouds,23.2167,-106.4167,Hotel Playamar
530,Kirakira,SB,81.3,overcast clouds,-10.4544,161.9205,SanBiz Lodge
533,Xique-Xique,BR,81.93,scattered clouds,-10.8218,-42.7263,Hotel J. Macedo
535,Gushikawa,JP,83.43,few clouds,26.3544,127.8686,Kirari Guest House
537,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
538,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
541,Giddalur,IN,76.69,overcast clouds,15.35,78.9167,Shivaji Lodge
546,Grand-Santi,GF,78.67,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
548,Naze,JP,76.12,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
551,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
552,Sur,OM,85.91,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
557,Porbandar,IN,79.59,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
559,Aquiraz,BR,80.69,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
561,San Policarpo,PH,79.07,overcast clouds,12.1791,125.5072,Manong Aklan Resort
565,Nicolas Bravo,MX,81.48,broken clouds,18.45,-88.9167,
568,Union Hidalgo,MX,87.82,broken clouds,16.4723,-94.8295,"Posada "" Esquipulas"""
574,Andros Town,BS,85.96,broken clouds,24.7,-77.7667,Hanks place
577,Rialma,BR,88.72,few clouds,-15.315,-49.5844,Don Antonio Hotel
579,Vicksburg,US,87.48,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
580,Lufilufi,WS,83.98,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
584,Omboue,GA,75.78,scattered clouds,-1.5746,9.2618,Hotel Olako
587,Road Town,VG,86.2,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
592,Yangjiang,CN,77.95,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
596,Barra Patuca,HN,81.45,overcast clouds,15.8,-84.2833,
603,Luganville,VU,76.05,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
605,Cartagena,CO,82.02,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
607,Mahibadhoo,MV,81.97,broken clouds,3.7833,72.9667,Omadhoo Inn
611,Coos Bay,US,86.85,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
615,Kieta,PG,80.98,light rain,-6.2167,155.6333,Uruna Bay Retreat
626,Ko Samui,TH,81.0,overcast clouds,9.5357,99.9357,The Passage
627,Lucea,JM,82.26,moderate rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
632,Bikaner,IN,88.16,overcast clouds,28.0167,73.3,Karina Guest House
642,San Rafael Del Sur,NI,88.77,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
655,Vung Tau,VN,78.64,overcast clouds,10.346,107.0843,Green hotel
657,Tutoia,BR,79.07,clear sky,-2.7619,-42.2744,Pousada Guará's
658,Monte Azul,BR,78.75,clear sky,-15.155,-42.8747,Hotel Delfino
659,Sena Madureira,BR,81.01,overcast clouds,-9.0656,-68.6569,Hotel Central
661,Trinidad,BO,85.15,few clouds,-14.8333,-64.9,Hotel Piesta
668,Nabire,ID,76.77,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
675,Iberia,US,89.67,clear sky,29.9502,-91.7507,back to back rv park
676,Gopalganj,IN,78.73,overcast clouds,26.4667,84.4333,SPOT ON 62129 Hotel Shabnam SPOT
679,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
681,Morropon,PE,89.01,few clouds,-5.1822,-79.9689,panaderia jeffeson
682,Cavalcante,BR,81.57,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
684,Nauta,PE,82.85,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
